Imagem;sexo;maturidade;acabamento;item;peso;AOL;Width Rib;Width Ext Fat;Score
lote1_F-2-4-37-154.jpg;F;2;4;37;154;0;0.538677715;1.19076078;62.84452692
lote1_F-4-4-6-171.8.jpg;F;4;4;6;171.8;3.351008741;0;0.292517001;63.25643386
lote1_F-2-4-32-149.6.jpg;F;2;4;32;149.6;2.355673065;0.674727826;1.260761092;63.29067957
lote1_F-4-4-38-151.6.jpg;F;4;4;38;151.6;0;0;0.265856046;63.3489711
lote1_F-4-3-23-147.jpg;F;4;3;23;147;0;0;0.109688766;63.59968046
lote1_F-4-4-12-157.4.jpg;F;4;4;12;157.4;3.536824179;0;0.230272499;63.69468034
lote1_F-2-4-35-145.4.jpg;F;2;4;35;145.4;0;0;0;63.735
lote1_F-2-4-7-144.8.jpg;F;2;4;7;144.8;0;0;0.00701245;63.74390618
lote1_F-2-3-2-153.8.jpg;F;2;3;2;153.8;0;0.45288339;0;63.82707322
lote1_F-2-3-18-156.6.jpg;F;2;3;18;156.6;3.045802077;0;0;63.85095427
lote1_F-4-4-28-159.4.jpg;F;4;4;28;159.4;2.482488953;0.371996196;0.088352585;63.87906663
lote1_F-2-4-19-149.8.jpg;F;2;4;19;149.8;2.376057741;0.683203798;0.572725239;63.89188621
lote1_F-2-4-36-154.6.jpg;F;2;4;36;154.6;3.169270237;0;0;63.91700513
lote1_F-2-4-26-146.6.jpg;F;2;4;26;146.6;0;0.362457832;0;63.94675937
lote1_F-2-4-29-153.2.jpg;F;2;4;29;153.2;2.598631888;0.697084149;0.453247977;63.94890478
lote1_F-4-4-17-166.6.jpg;F;4;4;17;166.6;3.444015897;0.510302474;0.038223899;63.95987725
lote1_F-2-4-20-163.2.jpg;F;2;4;20;163.2;3.138941817;0.803100978;0.30766078;63.96637357
lote1_F-2-4-20-168.jpg;F;2;4;20;168;3.153393392;0.581840204;0;63.96802856
lote1_F-2-4-10-173.4.jpg;F;2;4;10;173.4;3.320879195;0.877453282;0;64.05197563
lote1_F-4-4-34-157.4.jpg;F;4;4;34;157.4;2.56495574;0.607186033;0.087979545;64.09698311
lote1_F-2-3-27-150.6.jpg;F;2;3;27;150.6;1.950266603;0.634998747;0.191465526;64.11569528
lote1_F-2-4-24-150.4.jpg;F;2;4;24;150.4;2.23913238;0.724915664;0.271281929;64.14886196
lote1_F-4-4-8-156.6.jpg;F;4;4;8;156.6;2.732375251;0.662670522;0.07658356;64.18565891
lote1_F-2-4-40-155.8.jpg;F;2;4;40;155.8;3.702619545;0.505545799;0.091491738;64.21403327
lote1_F-2-3-25-150.jpg;F;2;3;25;150;2.856406891;0.424900559;0.040072307;64.23991873
lote1_F-2-4-1-153.jpg;F;2;4;1;153;2.058056793;0.651569995;0;64.24714457
lote1_F-3-4-31-152.jpg;F;3;4;31;152;2.72398936;0.697914012;0.121427481;64.28410678
lote1_F-4-3-9-150.4.jpg;F;4;3;9;150.4;2.790347282;0.49162846;0;64.30066133
lote1_F-2-4-4-129.6.jpg;F;2;4;4;129.6;3.327442066;0;0.20075875;64.38810811
lote1_F-2-4-30-145.4.jpg;F;2;4;30;145.4;2.425279276;0.661569964;0;64.49155347
lote1_F-2-3-22-141.jpg;F;2;3;22;141;2.455475114;0.557994294;0.047730649;64.49491602
lote1_F-2-3-5-146.8.jpg;F;2;3;5;146.8;3.013451762;0.610455296;0;64.49892241
lote1_F-4-4-33-148.8.jpg;F;4;4;33;148.8;3.229595621;0.666105853;0;64.51414003
lote1_F-2-4-1-153.jpg;F;2;4;1;153;2.393028398;11.49668896;0.194496187;71.35536804
