Produto produzido;Peças;Qtde S. Ant;Peso M.;Cx M.;Pec;Rend. R.;Pad;Dif;Sobra
Tipo de corte - Traseiro Especial;;;;;;;;
613 - BIFE DO VAZIO;105;7;0,00;166,810;23,830;1,589;0,731%;1,800%;-1,069%;0,00 Kg
683 - CAPA DE FILE;287;22;0,00;508,150;23,098;1,771;2,227%;2,200%;0,027%;0,00 Kg
6051 - CAPA DE FILE;1979;51;7;0,00;117,040;16,720;2,295;0,513%;2,200%;-1,687%;0,00 Kg
5924 - CONTRA FILE;356;64;0,00;1.340,630;20,947;3,766;5,877%;5,500%;0,377%;0,00 Kg
5999 - CONTRA FILE - B;8;2;0,00;41,990;20,995;5,249;0,184%;4,500%;-4,316%;0,00 Kg
5927 - CONTRA FILE GRILL;78;24;0,00;398,770;16,615;5,112;1,748%;4,500%;-2,752%;0,00 Kg
6045 - CONTRA FILE PORCIONADO;1979;29;3;0,00;37,660;12,553;1,299;0,165%;4,500%;-4,335%;0,00 Kg
5929 - CONTRA FILE SEM NOIX;179;30;0,00;635,490;21,183;3,550;2,786%;4,500%;-1,714%;0,00 Kg
691 - CORACAO DA ALCATRA;304;53;0,00;1.150,400;21,706;3,797;5,043%;4,500%;0,543%;0,00 Kg
6084 - CORACAO DA ALCATRA;1979;8;2;0,00;28,350;14,175;3,544;0,124%;4,500%;-4,376%;0,00 Kg
5979 - CORACAO DA ALCATRA GRILL;32;8;0,00;143,200;17,900;4,475;0,628%;4,500%;-3,872%;0,00 Kg
610 - COXAO DURO;257;67;0,00;1.294,960;19,328;5,039;5,677%;6,200%;-0,523%;0,00 Kg
5982 - COXAO DURO GRILL;54;22;0,00;403,180;18,326;7,466;1,767%;6,200%;-4,433%;0,00 Kg
694 - COXAO DURO PORCIONADO;35;3;0,00;66,210;22,070;1,892;0,290%;0,000%;0,290%;0,00 Kg
660 - COXAO MOLE;326;120;0,00;2.961,260;24,677;9,084;12,981%;11,000%;1,981%;0,00 Kg
5931 - FILE DE COSTELA - NOIX;132;9;0,00;187,740;20,860;1,422;0,823%;2,800%;-1,977%;0,00 Kg
5917 - FILE MIGNON - 3/4;54;4;0,00;76,950;19,238;1,425;0,337%;2,500%;-2,163%;0,00 Kg
710 - FILE MIGNON - 4/5;190;13;0,00;336,070;25,852;1,769;1,473%;2,500%;-1,027%;0,00 Kg
5918 - FILE MIGNON - 5UP;93;9;0,00;221,510;24,612;2,382;0,971%;2,500%;-1,529%;0,00 Kg
5938 - FRALDA;269;24;0,00;577,840;24,077;2,148;2,533%;3,200%;-0,667%;0,00 Kg
6047 - FRALDINHA;1979;27;3;0,00;48,440;16,147;1,794;0,212%;3,200%;-2,988%;0,00 Kg
5940 - FRALDINHA GRILL;42;6;0,00;102,710;17,118;2,445;0,450%;3,200%;-2,750%;0,00 Kg
615 - LAGARTO;344;33;0,00;839,930;25,452;2,442;3,682%;3,000%;0,682%;0,00 Kg
607 - MAMINHA;204;14;0,00;258,840;18,489;1,269;1,135%;2,000%;-0,865%;0,00 Kg
